,Player,Series,date,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,0,4s,6s,Afghanistan,Australia,Bangladesh,England,India,Netherlands,New Zealand,Pakistan,South Africa,Sri Lanka,AVG_Run,AVG_SR,AVG_BF
0,Virat Kohli,"India in Sri Lanka ODI Series, 2008",18 Aug 2008,5,5.0,0,159,54,31.80,239.0,66.52,0,1,0,21,1,0,0,0,0,0,0,0,0,0,5,31.8,66.52,0.15933333333333333
1,Virat Kohli,"Compaq Cup (India, New Zealand, Sri Lanka in Sri Lanka), 2009",14 Sep 2009,1,1.0,1,2,2*,-,2.0,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.8,83.25999999999999,0.08299999999999999
2,Virat Kohli,"ICC Champions Trophy (in South Africa), 2009/10",26 Sep 2009,3,2.0,1,95,79*,95.00,128.0,74.21,0,1,0,10,2,0,1,0,0,0,0,0,1,0,0,55.45,78.73499999999999,0.14816666666666667
3,Virat Kohli,"Australia in India ODI Series, 2009/10",25 Oct 2009,2,2.0,0,40,30,20.00,57.0,70.17,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,37.725,74.45249999999999,0.12158333333333333
4,Virat Kohli,"Sri Lanka in India ODI Series, 2009/10",15 Dec 2009,4,3.0,0,188,107,62.66,198.0,94.94,1,1,0,22,1,0,0,0,0,0,0,0,0,0,4,50.192499999999995,84.69624999999999,0.17079166666666667
5,Virat Kohli,"Tri-Nation Tournament in Bangladesh, 2009/10",5 Jan 2010,5,5.0,2,275,102*,91.66,285.0,96.49,1,2,0,28,0,0,0,2,0,0,0,0,0,0,3,70.92625,90.59312499999999,0.18039583333333334
6,Virat Kohli,"South Africa in India ODI Series, 2009/10",21 Feb 2010,3,2.0,0,88,57,44.00,117.0,75.21,0,1,0,5,1,0,0,0,0,0,0,0,0,3,0,57.463125,82.90156249999998,0.1876979166666667
7,Virat Kohli,"Zimbabwe Triangular Series (India, Sri Lanka, Zimbabwe), 2010",28 May 2010,4,4.0,0,168,82,42.00,216.0,77.77,0,2,1,10,0,0,0,0,0,0,0,0,0,0,2,49.731562499999995,80.33578125,0.18384895833333334
8,Virat Kohli,"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Sri Lanka), 2010",16 Jun 2010,4,4.0,0,67,28,16.75,97.0,69.07,0,0,0,6,0,0,0,1,0,0,0,0,1,0,2,33.24078125,74.702890625,0.13234114583333334
9,Virat Kohli,"Sri Lanka Triangular Series (India, New Zealand, Sri Lanka), 2010",16 Aug 2010,3,3.0,0,45,37,15.00,76.0,59.21,0,0,1,6,0,0,0,0,0,0,0,1,0,0,2,24.120390625,66.9564453125,0.10839279513888889
10,Virat Kohli,"Australia in India ODI Series, 2010/11",20 Oct 2010,1,1.0,0,118,118,118.00,121.0,97.52,1,0,0,11,1,0,1,0,0,0,0,0,0,0,0,71.0601953125,82.23822265625,0.2558630642361111
11,Virat Kohli,"New Zealand in India ODI Series, 2010/11",28 Nov 2010,5,5.0,1,234,105,58.50,257.0,91.05,1,2,1,24,2,0,0,0,0,0,0,5,0,0,0,64.78009765625,86.644111328125,0.21359819878472222
12,Virat Kohli,"India in South Africa ODI Series, 2010/11",12 Jan 2011,5,5.0,1,193,87*,48.25,243.0,79.42,0,2,0,15,3,0,0,0,0,0,0,0,0,5,0,56.515048828125,83.03205566406251,0.1877990993923611
13,Virat Kohli,"ICC Cricket World Cup (in Bangladesh/India/Sri Lanka), 2010/11",19 Feb 2011,9,9.0,1,282,100*,35.25,343.0,82.21,1,1,0,24,2,0,1,1,1,0,1,0,1,1,1,45.8825244140625,82.62102783203125,0.15741806821469906
14,Virat Kohli,"India in West Indies ODI Series, 2011",6 Jun 2011,5,5.0,0,199,94,39.80,249.0,79.91,0,2,1,17,1,0,0,0,0,0,0,0,0,0,0,42.84126220703125,81.26551391601562,0.16170903410734955
15,Virat Kohli,"NatWest Series [India in England], 2011",3 Sep 2011,5,5.0,0,194,107,38.80,229.0,84.71,1,1,0,14,1,0,0,0,5,0,0,0,0,0,0,40.82063110351562,82.98775695800781,0.1571878503870081
16,Virat Kohli,"England in India ODI Series, 2011/12",14 Oct 2011,5,5.0,2,270,112*,90.00,295.0,91.52,1,1,1,32,0,0,0,0,5,0,0,0,0,0,0,65.4103155517578,87.2538784790039,0.17692725852683738
