team1,team2,venue,winner,date,team_matches,team1_win,team2_win,team1_venue_matches,team1_venue_win,team2_venue_matches,team2_venue_win
New Zealand,Sri Lanka,New Zealand,New Zealand,2015-01-11,10,2,6,27,12,0,0
New Zealand,Sri Lanka,New Zealand,Sri Lanka,2015-01-15,11,3,6,28,13,1,0
Australia,England,Australia,Australia,2015-01-16,21,12,8,38,27,12,2
New Zealand,Sri Lanka,New Zealand,no result,2015-01-17,12,3,7,28,13,2,1
India,Australia,Australia,Australia,2015-01-18,11,5,5,8,3,39,28
India,England,Australia,England,2015-01-20,21,12,6,9,3,13,2
New Zealand,Sri Lanka,New Zealand,New Zealand,2015-01-20,13,4,7,29,13,3,1
Australia,England,Australia,Australia,2015-01-23,22,13,8,40,29,14,3
New Zealand,Sri Lanka,New Zealand,New Zealand,2015-01-23,14,4,7,30,14,4,1
New Zealand,Sri Lanka,New Zealand,New Zealand,2015-01-25,15,5,7,31,15,5,1
India,Australia,Australia,no result,2015-01-26,12,5,6,10,3,41,30
New Zealand,Sri Lanka,New Zealand,Sri Lanka,2015-01-29,16,6,7,32,16,6,1
India,England,Australia,England,2015-01-30,22,12,8,11,3,15,3
New Zealand,Pakistan,New Zealand,New Zealand,2015-01-31,12,6,5,33,16,6,3
Australia,England,Australia,Australia,2015-02-01,23,14,8,42,30,16,4
New Zealand,Pakistan,New Zealand,New Zealand,2015-02-03,13,7,5,34,17,7,3
Australia,England,Australia,Australia,2015-02-14,24,15,8,43,31,17,4
New Zealand,Sri Lanka,New Zealand,New Zealand,2015-02-14,17,6,8,35,18,7,2
India,Pakistan,Australia,India,2015-02-15,7,4,3,12,3,0,0
Afghanistan,Bangladesh,Australia,Bangladesh,2015-02-18,1,1,0,0,0,0,0
New Zealand,England,New Zealand,New Zealand,2015-02-20,7,3,4,36,19,3,2
India,South Africa,Australia,India,2015-02-22,10,3,6,13,4,5,1
Afghanistan,Sri Lanka,New Zealand,Sri Lanka,2015-02-22,1,0,1,0,0,8,2
Sri Lanka,Bangladesh,Australia,Sri Lanka,2015-02-26,8,5,2,16,7,1,1
Australia,New Zealand,New Zealand,New Zealand,2015-02-28,2,1,0,1,0,37,20
Sri Lanka,England,New Zealand,Sri Lanka,2015-03-01,19,12,7,9,3,4,2
Australia,Afghanistan,Australia,Australia,2015-03-04,1,1,0,44,32,1,0
South Africa,Pakistan,New Zealand,Pakistan,2015-03-07,14,9,5,6,5,8,3
Australia,Sri Lanka,Australia,Australia,2015-03-08,19,8,9,45,33,17,8
New Zealand,Afghanistan,New Zealand,New Zealand,2015-03-08,0,0,0,38,21,1,0
Bangladesh,England,Australia,Bangladesh,2015-03-09,1,1,0,2,1,18,4
New Zealand,Bangladesh,New Zealand,New Zealand,2015-03-13,3,0,3,39,22,0,0
Afghanistan,England,Australia,England,2015-03-13,0,0,0,2,0,19,4
South Africa,Sri Lanka,Australia,South Africa,2015-03-18,13,6,7,6,1,18,8
India,Bangladesh,Australia,India,2015-03-19,6,4,1,14,5,3,2
Australia,Pakistan,Australia,Australia,2015-03-20,7,5,2,46,34,1,0
South Africa,New Zealand,New Zealand,New Zealand,2015-03-24,10,6,3,7,5,40,23
India,Australia,Australia,Australia,2015-03-26,13,5,6,15,6,47,35
Australia,New Zealand,Australia,Australia,2015-03-29,3,1,1,48,36,0,0
Pakistan,Bangladesh,Bangladesh,Bangladesh,2015-04-17,6,6,0,13,10,42,17
Pakistan,Bangladesh,Bangladesh,Bangladesh,2015-04-19,7,6,1,14,10,43,18
Pakistan,Bangladesh,Bangladesh,Bangladesh,2015-04-22,8,6,2,15,10,44,19
New Zealand,England,England,England,2015-06-09,8,4,4,6,3,42,22
New Zealand,England,England,New Zealand,2015-06-12,9,4,5,7,3,43,23
New Zealand,England,England,New Zealand,2015-06-14,10,5,5,8,4,44,22
New Zealand,England,England,England,2015-06-17,11,6,5,9,5,45,22
India,Bangladesh,Bangladesh,Bangladesh,2015-06-18,7,5,1,11,7,45,20
New Zealand,England,England,England,2015-06-20,12,6,6,10,5,46,24
India,Bangladesh,Bangladesh,Bangladesh,2015-06-21,8,5,2,12,7,46,21
India,Bangladesh,Bangladesh,India,2015-06-24,9,5,3,13,7,47,22
South Africa,Bangladesh,Bangladesh,South Africa,2015-07-10,1,1,0,2,1,47,22
Pakistan,Sri Lanka,Sri Lanka,Pakistan,2015-07-11,22,11,10,14,7,53,30
South Africa,Bangladesh,Bangladesh,Bangladesh,2015-07-12,2,2,0,3,2,48,22
South Africa,Bangladesh,Bangladesh,Bangladesh,2015-07-15,3,2,1,4,1,49,23
Pakistan,Sri Lanka,Sri Lanka,Sri Lanka,2015-07-15,23,12,10,15,8,54,30
Pakistan,Sri Lanka,Sri Lanka,Pakistan,2015-07-19,24,12,11,16,7,55,31
Pakistan,Sri Lanka,Sri Lanka,Pakistan,2015-07-22,25,13,11,17,8,56,31
