,Name,bat_score,bow_score,all_bat,all_bow,wkt,Opposition,Roll,Team
0,0,2394.96,44.8,1680.95,1328.43,1077.73,1,0,0
1,1,1837.29,31.59,1289.26,1018.41,826.78,1,0,0
2,2,207.14,0.0,145.0,113.93,97.39,1,0,0
3,3,435.94,0.0,305.16,239.77,196.17,1,0,0
4,4,500.23,0.0,350.16,275.13,240.56,1,0,0
5,5,469.36,0.0,328.55,258.15,211.21,1,0,0
6,7,28.76,196.01,39.73,64.82,12.94,1,2,0
7,8,44.07,221.04,52.95,79.5,19.83,1,2,0
8,9,49.26,219.21,56.4,81.89,22.17,1,2,0
9,10,100.15,111.24,81.23,82.89,45.07,1,3,0
10,11,86.65,90.15,69.67,70.2,38.99,1,2,0
11,12,14.3,78.24,17.83,27.42,6.43,1,2,0
12,13,167.87,0.0,117.51,92.33,75.54,1,0,0
13,14,130.6,273.13,118.73,140.11,58.77,1,3,0
14,15,491.17,410.44,384.87,372.75,221.03,1,1,0
15,16,3.18,38.61,6.08,11.4,1.43,1,2,0
16,17,320.0,1.61,224.16,176.4,144.0,8,0,1
17,18,1205.24,0.0,843.67,662.88,625.24,8,0,1
18,19,0.0,0.0,0.0,0.0,0.0,8,0,1
19,20,370.0,1.69,259.17,203.92,178.11,8,0,1
20,21,437.79,37.67,310.22,250.2,197.01,8,0,1
21,22,760.72,0.0,532.51,418.4,342.33,8,0,1
22,23,487.26,0.76,341.16,268.18,219.27,8,0,1
23,24,115.87,50.18,86.13,76.27,52.14,8,3,1
24,25,173.83,133.08,134.99,128.88,78.23,8,3,1
25,26,19.77,31.17,16.95,18.67,8.9,8,2,1
26,27,56.62,90.54,48.69,53.77,25.48,8,2,1
27,28,30.21,119.24,33.07,46.43,13.6,8,2,1
28,29,78.45,229.35,77.85,100.49,35.3,8,2,1
29,30,13.8,108.09,20.47,34.61,6.21,8,2,1
30,31,0.0,0.0,0.0,0.0,0.0,8,2,1
31,32,16.97,34.79,15.36,18.03,7.64,8,2,1
32,33,18.32,47.99,17.63,22.08,8.25,8,2,1
