team1,team2
New Zealand,England
Pakistan,Netherlands
Afghanistan,Bangladesh
South Africa,Sri Lanka
India,Australia
New Zealand,Netherlands
Bangladesh,England
Pakistan,Sri Lanka
India,Afghanistan
South Africa,Australia
New Zealand,Bangladesh
India,Pakistan
Afghanistan,England
Australia,Sri Lanka
South Africa,Netherlands
New Zealand,Afghanistan
India,Bangladesh
Australia,Pakistan
Sri Lanka,Netherlands
South Africa,England
India,New Zealand
Pakistan,Afghanistan
South Africa,Bangladesh
Australia,Netherlands
Sri Lanka,England
South Africa,Pakistan
Australia,New Zealand
Bangladesh,Netherlands
India,England
Afghanistan,Sri Lanka
Pakistan,Bangladesh
South Africa,New Zealand
India,Sri Lanka
Afghanistan,Netherlands
New Zealand,Pakistan
Australia,England
India,South Africa
Sri Lanka,Bangladesh
Australia,Afghanistan
England,Netherlands
New Zealand,Sri Lanka
South Africa,Afghanistan
Australia,Bangladesh
Pakistan,England
India,Netherlands
